mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
3156, GO FLY Ltd.,Transportation,,,,,,,10/8/2012,
3159, PBA,Transportation,,,,,,,10/8/2012,
3161, All Nippon Airways   Anaair,Transportation,,,,,,,10/8/2012,
3164, Norontair,Transportation,,,,,,,10/8/2012,
3165, New York Helicopter,Transportation,,,,,,,10/8/2012,
3167, Aero Continente,Transportation,,,,,,,10/8/2012,
3170, Mount Cook,Transportation,,,,,,,10/8/2012,
3171, Canadian Airlines Canadian,Transportation,,,,,,,10/8/2012,
3172, Nation Air   Nationai,Transportation,,,,,,,10/8/2012,
3174, JetBlue Airways,Transportation,,,,,,,10/8/2012,
3175, Middle East Air,Transportation,,,,,,,10/8/2012,
3176, Metroflight Airlines,Transportation,,,,,,,10/8/2012,
3177, AirTran Airways (AIRTRANAIR,Transportation,,,,,,,10/8/2012,
3178, Mesa Air,Transportation,,,,,,,10/8/2012,
3180, Westjet Airlines,Transportation,,,,,,,10/8/2012,
3181, Malev,Transportation,,,,,,,10/8/2012,
3182, LOT (Poland),Transportation,,,,,,,10/8/2012,
3183, Oman Aviation Services,Transportation,,,,,,,10/8/2012,
3184, LIAT,Transportation,,,,,,,10/8/2012,
3185, LAV (Venezuela),Transportation,,,,,,,10/8/2012,
3186, LAP (Paraguay),Transportation,,,,,,,10/8/2012,
3187, LACSA,Transportation,,,,,,,10/8/2012,
3188, Virgin Express,Transportation,,,,,,,10/8/2012,
3190, Jugoslav Air,Transportation,,,,,,,10/8/2012,
3191, Island Airlines,Transportation,,,,,,,10/8/2012,
3192,(Obsolete)  Iran National,Transportation,,,,,,,10/8/2012,
3193, Indian Airlines,Transportation,,,,,,,10/8/2012,
