mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
5691, Men's And Ladies's Clothing,Retail Purchase,NOVIY VZGLAYD,НОВЫЙ ВЗГЛЯД,UL.VOENNA,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,OSTIN,ОСТИН,TTS MEGA 107 VATUTINA,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,SAVAGE,САВАЖ,107 VATUTINA STR,,RUS,NOVOSIBIRSK,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,WESTLAND,,SH. ENTUZIASTOV ,,RUS,MOSCOW,10/16/2012,
5691, Men's And Ladies's Clothing,Retail Purchase,YNG,,1 SEMENOVSKAYA,,RUS,MOSCOW,10/16/2012,
5697," Tailors,seamstress,mending",Retail Purchase,,,,,,,10/8/2012,
5698, Wig & Toupee Shops,Retail Purchase,,,,,,,10/8/2012,
5699, Miscellaneous Apparel & Acc,Retail Purchase,PO KARMANU,ПО КАРМАНУ,STANISLAVSKOGO,,RUS,NOVOSIBIRSK,10/8/2012,
5712," Furniture,home Furnishings",Retail Purchase,TD LAZURIT,ТД ЛАЗУРИТ,,,RUS,MOSCOW,10/8/2012,
5713," Floor Covering,rugs,and Car",Retail Purchase,,,,,,,10/8/2012,
5714, Drapery & Upholstery Stores,Retail Purchase,,,,,,,10/8/2012,
5718," Fireplace,fireplace Screens",Retail Purchase,,,,,,,10/8/2012,
5719, Miscellaneous House Furnish,Retail Purchase,,,,,,,10/8/2012,
5722, Household Appliance Stores,Retail Purchase,M.VIDEO ,М.ВИДЕО,,,RUS,MOSCOW,10/8/2012,
5722, Household Appliance Stores,Retail Purchase,M.VIDEO INTERNET-MAGAZ,М.ВИДЕО (интернет-магазин),,,RUS,MOSCOW,10/8/2012,
5722, Household Appliance Stores,Retail Purchase,220 VOLT,220 ВОЛЬТ,19A TOLMACHEVSK,,RUS,NOVOSIBIRSK,10/16/2012,
5722, Household Appliance Stores,Retail Purchase,ELDORADO,ЭЛЬДОРАДО,3 K MARKSA ST ,,RUS,NOVOSIBIRSK,10/16/2012,
5722, Household Appliance Stores,Retail Purchase,ELDORADO,ЭЛЬДОРАДО,UL.POBEDY 78,,RUS,TOGLIATTI,10/16/2012,
5722, Household Appliance Stores,Retail Purchase,MEDTEKHNIKA DLYA DOMA,МЕДТЕХНИКА ДЛЯ ДОМА,,,RUS,NOVOSIBIRSK,10/16/2012,
5722, Household Appliance Stores,Retail Purchase,TEHNIKA V KUBE,ТЕХНИКА В КУБЕ,,,RUS,MOSCOW,10/16/2012,
5732, Electronic Sales,Retail Purchase,OZON.RU,ОЗОН.РУ,"BRUBELYA,12",,RUS,MOSCOW,10/16/2012,
5732, Electronic Sales,Retail Purchase,CITILINK,СИТИЛИНК,,,RUS,MOSCOW,10/8/2012,
5732, Electronic Sales,Retail Purchase,YULMART,ЮЛМАРТ,,,RUS,MOSCOW,10/8/2012,
5733, Music Stores-musical Instru,Retail Purchase,,,,,,,10/8/2012,
5734, Computer Software Stores,Retail Purchase,APPLE ITUNES,ЭПЛ АЙТЮНС,,,RUS,,10/8/2012,
5734, Computer Software Stores,Retail Purchase,DNS,,"KARLA MARKSA PR-T, 57",,RUS,NOVOSIBIRSK,10/16/2012,
5734, Computer Software Stores,Retail Purchase,DNS,,"VATUTINA, 31",,RUS,NOVOSIBIRSK,10/16/2012,
5734, Computer Software Stores,Retail Purchase,1C-ONLINE SHOP,,SELEZNYOVSKAYA,,RUS,MOSCOW,10/16/2012,
5735, Record Shops,Retail Purchase,,,,,,,10/8/2012,
5811, Caterers,Retail Purchase,,,,,,,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,LAUNDZH KAFE TOKIO,ЛАУНЖ КАФЕ ТОКИО,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,ZOLOTAYA VOBLA,ЗОЛОТАЯ ВОБЛА,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,AMERICAN FAMOUS FO,АМЕРИКАН ФЭЙМОС,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,PAPA JOHNS,ПАПА ДЖОНС (сеть пиццерий),,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,KOFEYNYA GLAZUR,КОФЕЙНЯ ГЛАЗУРЬ,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,CAFE LEPESHKA,КАФЕ ЛЕПЕШКА,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,JAGGERCLUB,ДЖАГЕРКЛУБ,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,ALTMULLERHAUS,АЛЬТМЮЛЛЕРХАУС,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,SHERBET RESTAURANT,РЕСТОРАН ШЕРБЕТ,,,RUS,MOSCOW,10/8/2012,
5812," Eating Places,Restaurants",Restaurant,TANUKI,ТАНУКИ,50-52 SHCHERBAKOVSKAYA ST,,RUS,MOSCOW,10/18/2012,
5812," Eating Places,Restaurants",Restaurant,BABA MARTA,,GOGOLEVSKIY BLVD,,RUS,MOSCOW,10/16/2012,
5812," Eating Places,Restaurants",Restaurant,BISKOTTI ,,MAROSEYKA STR,,RUS,MOSCOW,10/16/2012,
5812," Eating Places,Restaurants",Restaurant,CAFE YASMIN,КАФЕ ЖАСМИН,BUTYRSKIY VAL,,RUS,MOSCOW,10/16/2012,
5812," Eating Places,Restaurants",Restaurant,DENIS DAVYDOV,ДЕНИС ДАВЫДОВ,50 B SEMENOVSKAYA,,RUS,MOSCOW,10/16/2012,
5812," Eating Places,Restaurants",Restaurant,GAMBRINUS,ГАМБРИНУС,SERGIYA RADONEZHSKOGO ,,RUS,MOSCOW,10/16/2012,
5812," Eating Places,Restaurants",Restaurant,YAKITORIYA,ЯКИТОРИЯ,SEMENOVS,,RUS,MOSCOW,10/18/2012,
5813," Drinking Places - Bars,Tave",Restaurant,BAR SPB M 07,БАР СПБ М 07,,,RUS,MOSCOW,10/8/2012,
5813," Drinking Places - Bars,Tave",Restaurant,CAFE-BAR CUBA LIBRE,КАФЕ-БАР КУБА ЛИБРЕ,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,MCDONALDS ,МАКДОНАЛДС,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,SHALE  RESTAURANT,РЕСТОРАН ШАЛЕ,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,SUSHI MAC,СУШИ МАК,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,KFC,КФС,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,BILINGUA  RESTAURANT,РЕСТОРАН БИЛИНГВА,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,LAMANTIN  BISTRO,ЛАМАНТИН  БИСТРО,,,RUS,MOSCOW,10/8/2012,
5814, Fast Food Res.,Restaurant,GRABLY,ГРАБЛИ,SEMENOVSKAYA,,RUS,MOSCOW,10/18/2012,
5814, Fast Food Res.,Restaurant,IRLANDSKIY PAB,ИРЛАНДСКИЙ ПАБ,SLAVY AVE.,,RUS,PETERSBURG,10/18/2012,
5911,,Retail Purchase,APTEKA  1,АПТЕКА 1,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKA 1 18,АПТЕКА  1 18,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,NPM APTEKA 12,НПМ АПТЕКА 12,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,KHELMI,ХЕЛМИ,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKA 31,АПТЕКА 31,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,ZDOROVYE LYUDI,ЗДОРОВЫЕ ЛЮДИ,,,RUS,MOSCOW,10/8/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTECHKA N908,,PR SVOBODN,,RUS,MOSCOW,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKA N132,АПТЕКА № 132,MOLOSTOVYKH ST. 9G,,RUS,MOSCOW,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKA N28,АПТЕКА № 28,,,RUS,MOSCOW,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKA N94,АПТЕКА № 94,,,RUS,MOSCOW,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,APTEKAMELODIYAZDOROVYA,,,,RUS,NOVOSIBIRSK,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,DR STOLETOV,,,,RUS,MOSCOW,10/18/2012,
5912," Drug Stores,pharmacies",Retail Purchase,STOLICHNYI DOCTOR,,UL. KIROV,,RUS,NOVOSIBIRSK,10/18/2012,
5913,,Retail Purchase,,,,,,,10/8/2012,
5921," Package Stores - Beer, Liqu",Retail Purchase,OTDOKHNI-77,ОТДОХНИ-77,,,RUS,MOSCOW,10/8/2012,
5921," Package Stores - Beer, Liqu",Retail Purchase,PIVNAYA LAVKA,ПИВНАЯ ЛАВКА,,,RUS,MOSCOW,10/8/2012,
5921," Package Stores - Beer, Liqu",Retail Purchase,AROMATNYI MIR  ,,,,RUS,MOSCOW,10/18/2012,
5921," Package Stores - Beer, Liqu",Retail Purchase,KRASNOE&BELOE,,,,RUS,PERVOURALSK,4/11/2012,ID терминала 200602
5931, Used Merchandise Stores,Retail Purchase,,,,,,,10/8/2012,
5932," Antique Shops-Sales, Repair",Retail Purchase,,,,,,,10/8/2012,
5933, Pawn Shops,Retail Purchase,,,,,,,10/8/2012,
5935, Wrecking & Salvage Yards,Retail Purchase,,,,,,,10/8/2012,
5936,,Retail Purchase,,,,,,,10/8/2012,
5937, Antique Reproduction Stores,Retail Purchase,,,,,,,10/8/2012,
5939,,Retail Purchase,,,,,,,10/8/2012,
5940, Bicycle Shops-sales & Servi,Retail Purchase,,,,,,,10/8/2012,
5941, Sporting Goods Stores,Retail Purchase,SPORTMASTER,СПОРТМАСТЕР,,,RUS,MOSCOW,10/8/2012,
5941, Sporting Goods Stores,Retail Purchase,EXPEDITION SHOP,,VATUTINA ST ,,RUS,NOVOSIBIRSK,10/18/2012,
5941, Sporting Goods Stores,Retail Purchase,SPORTMASTER SHOP,СПОРТМАСТЕР,,,RUS,PETERSBURG,10/18/2012,
5942, Book Stores,Retail Purchase,AMAZON,АМАЗОН,,,RUS,MOSCOW,10/8/2012,
5942, Book Stores,Retail Purchase,DOM KNIGI NA PREOBRAZH,,PREOBRAZH,,RUS,MOSCOW,10/18/2012,
5942, Book Stores,Retail Purchase,OZON.RU,,NAMETKINA STR 10 BLD ,,RUS,MOSCOW,10/18/2012,
5942, Book Stores,Retail Purchase,ONELYA-BOOKS.RU,,21 STR.1 NOVIY A,,RUS,MOSCOW,10/18/2012,
5943," Stationery,office,and Schoo",Retail Purchase,,,,,,,10/8/2012,
5944, Jewelry Stores - Watches,Jewelry,,,,,,,10/8/2012,
5945," Hobby,toy,and Game Shops",Retail Purchase,DETSKIY MIR,ДЕТСКИЙ МИР,,,RUS,MOSCOW,10/8/2012,
5945," Hobby,toy,and Game Shops",Retail Purchase,SMIK ,СМИК,,,RUS,MOSCOW,10/8/2012,
5946, Camera And Photographic Sup,Retail Purchase,,,,,,,10/8/2012,
5947," Gift,card,novelty And Souve",Retail Purchase,,,,,,,10/8/2012,
5948, Luggage And Leather Goods S,Retail Purchase,,,,,,,10/8/2012,
5949," Sewing,needlework,fabric",Retail Purchase,IGOLOCHKA,ИГОЛОЧКА,11 - YA PARKOVAYA STR.,,RUS,MOSCOW,10/8/2012,
5950, Glassware And Crystal Store,Retail Purchase,,,,,,,10/8/2012,
5951,,Retail Purchase,,,,,,,10/8/2012,
5952,,Retail Purchase,,,,,,,10/8/2012,
5953,,Retail Purchase,,,,,,,10/8/2012,
5955,,Retail Purchase,,,,,,,10/8/2012,
5956,,Retail Purchase,,,,,,,10/8/2012,
5957,,Retail Purchase,,,,,,,10/8/2012,
5958,,Retail Purchase,,,,,,,10/8/2012,
5959,,Retail Purchase,,,,,,,10/8/2012,
5960, Direct Marketing-Insurance ,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
5961,,Retail Purchase,,,,,,,10/8/2012,
5962, Direct Marketing-Travel Rel,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
5963, Door-to-Door Sales,Retail Purchase,,,,,,,10/8/2012,
5964, Direct Marketing-Catalog Me,Mail/Telephone/Preauth order,ALIBABA.COM,АЛИБАБА,,,,,10/8/2012,
5965, Direct Marketing-Combinatio,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
5966, Direct Marketing-Outbound T,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
5967, Direct Marketing-Inbound Te,Mail/Telephone/Preauth order,,,,,,,10/8/2012,
5968, Direct Marketing-Continuity,Mail/Telephone/Preauth order,WWW.PRONTO.RU,ПРОНТО,,,RUS,MOSCOW,10/8/2012,
5969, Direct Marketing-Other Dire,Mail/Telephone/Preauth order,AMAZON ,АМАЗОН,,,RUS,MOSCOW,10/8/2012,
5970, Artists Supply Stores,Retail Purchase,,,,,,,10/8/2012,
5971, Art Dealers & Galleries,Retail Purchase,,,,,,,10/8/2012,
5972, Stamp & Coin Stores,Retail Purchase,,,,,,,10/8/2012,
5973, Religious Goods Stores,Retail Purchase,,,,,,,10/8/2012,
5975," Hearing Aid Sales,service",Retail Purchase,,,,,,,10/8/2012,
5976, Orthopedic Goods - Artifici,Retail Purchase,,,,,,,10/8/2012,
5977, Cosmetic Stores,Retail Purchase,LETUAL,ЛЕТУАЛЬ,NOVOSLOBODSKAJA D.4,,RUS,MOSCOW,10/8/2012,
5977, Cosmetic Stores,Retail Purchase,LETUAL,ЛЕТУАЛЬ,"9-JA PARKOVAJA, 6",,RUS,MOSCOW,10/8/2012,
5977, Cosmetic Stores,Retail Purchase,PODRUZHKA,ПОДРУЖКА,,,RUS,MOSCOW,10/8/2012,
5977, Cosmetic Stores,Retail Purchase,RIV GOSH,РИВ ГОШ,5 VOENNAYA STR,,RUS,NOVOSIBIRSK,10/8/2012,
5977, Cosmetic Stores,Retail Purchase,LAURA,,,,RUS,PERVOURALSK,4/11/2013,ID терминала 162434
5978, Typewriter Stores - Sales,Retail Purchase,,,,,,,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,AZS 563,АЗС 563,"IZMAILOVSKOE SHOSSE, VL. ",,RUS,MOSCOW,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,AZS 83,АЗС 83,KM 83 KM TRASSY SKA,,RUS,PETERSBURG,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,EKA-AZS - 82,,UL.BURAKOVA,,RUS,MOSCOW,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,LUKOIL 204,ЛУКОЙЛ 204,38KM HW MOSKVA-DUBNA,,RUS,MO,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,LUKOIL 224,ЛУКОЙЛ 224,"SCHELKOVO, SOVETSKAYA ST.",,RUS,MO,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,LUKOIL 441,ЛУКОЙЛ 441,25 KM. A.D MOSCOW MINSK,,RUS,MO,10/8/2012,
5983, Fuel Dealers - Fuel Oil,Retail Purchase,PTK-SERVICE-208,,AVTODOROGA SPB-KI,,RUS,PSKOV,10/8/2012,
5991,,Retail Purchase,,,,,,,10/8/2012,
5992, Florists,Retail Purchase,,,,,,,10/8/2012,
5993, Cigar Stores And Stands,Retail Purchase,,,,,,,10/8/2012,
5994, News Dealers And Newsstands,Retail Purchase,,,,,,,10/8/2012,
5995, Pet Shops-pet Foods & Suppl,Retail Purchase,BETHOWEN,ЗООМАГАЗИН БЕТХОВЕН,,,RUS,MOSCOW,10/8/2012,
5996, Swimming Pools,Retail Purchase,,,,,,,10/8/2012,
5997, Electric Razor Stores,Retail Purchase,,,,,,,10/8/2012,
5998, Tent & Awning Shops,Retail Purchase,,,,,,,10/8/2012,
5999, Miscellaneous & specialty r,Retail Purchase,HANDYBANK ,ХЭНДИБАНК,,,RUS,MOSCOW,10/8/2012,
5999, Miscellaneous & specialty r,Retail Purchase,SPAR,СПАР,,,RUS,MOSCOW,10/8/2012,
5999, Miscellaneous & specialty r,Retail Purchase,OFFICEMAG MAGAZIN ,ОФИСМАГ,,,RUS,MOSCOW,10/8/2012,
6010, POS Cash,  Cash,,,,,,,10/8/2012,
6011, ATM,Financial Institutions,,,,,,,10/8/2012,
6012, Member Financial Institutio,Retail Purchase,RNKO-KYKYRYZA,КУКУРУЗА РНКО,,,RUS,MOSCOW,10/8/2012,
6022, Undefined From IPM MPE,Retail Purchase,,,,,,,10/8/2012,
6023, Undefined From IPM MPE,Retail Purchase,,,,,,,10/8/2012,
6025, Undefined From IPM MPE,Retail Purchase,,,,,,,10/8/2012,
6026, Undefined From IPM MPE,Retail Purchase,,,,,,,10/8/2012,
6028, Undefined From IPM MPE,Retail Purchase,,,,,,,10/8/2012,
6050, Quasi Cash - Member Financi,Unique,,,,,,,10/8/2012,
6051," Foreign Currency,Money,TC's",Unique,TCS BANK,ТКС БАНК,,,RUS,MOSCOW,10/8/2012,
6051," Foreign Currency,Money,TC's",Unique,PLATEZH.RU,ПЛАТЕЖ.РУ,,,RUS,MOSCOW,10/8/2012,
6051," Foreign Currency,Money,TC's",Unique,INTELLECTMONEY,ИНТЕЛЛЕКТМАНИ,LENINGRADSKIY PR-,,RUS,MOSCOW,10/8/2012,
6051," Foreign Currency,Money,TC's",Unique,TCS BANK,ТКС БАНК,1-Y VOLOKOLAMSKY PASS 1 ,,RUS,MOSCOW,10/8/2012,
6051," Foreign Currency,Money,TC's",Unique,WWW.W1.RU,,"10,448,PRESNENSKAYA NA",,RUS,MOSCOW,10/8/2012,
6211, Security Brokers/dealers In,Retail Purchase,,,,,,,10/8/2012,
6300, Insurrance Sales And Underw,Retail Purchase,ALFASTRAKHOVANIE,АЛЬФАСТРАХОВАНИЕ,,,RUS,MOSCOW,10/8/2012,
6300, Insurrance Sales And Underw,Retail Purchase,INGOSSTRAKH,ИНГОССТРАХ,"PYATNITSKAYA UL.,12",,RUS,MOSCOW,10/8/2012,
6300, Insurrance Sales And Underw,Retail Purchase,RESO-84,,CVETNOY B-R 30 1,,RUS,MOSCOW,10/8/2012,
6310,,Retail Purchase,,,,,,,10/8/2012,
6513, Real Estate Agents And Mana,Retail Purchase,,,,,,,10/8/2012,
6529, Remote Stored Value Load,Unique,,,,,,,10/8/2012,
6530, Remote Stored Value Load,Unique,,,,,,,10/8/2012,
6531, Payment Service Provider -,Retail Purchase,,,,,,,10/8/2012,
6532, Payment Transaction - Membe,Payment Services,,,,,,,10/8/2012,
6533, Payment Service Provider - ,Payment Services,,,,,,,10/8/2012,
6534, Money Transfer - Member Fin,Unique,,,,,,,10/8/2012,
6535, Value Purchase - Member Fin,Retail Purchase,,,,,,,10/8/2012,
6536, Moneysend-Intracountry,Retail Purchase,,,,,,,10/8/2012,
6537, Moneysend-Intracountry,Retail Purchase,,,,,,,10/8/2012,
6538,MoneySend,Retail Purchase,,,,,,,10/8/2012,
6539,,Unique,,,,,,,10/8/2012,
6540, POI Transaction [Excluding MoneySend],Retail Purchase,,,,,,,10/8/2012,
6541,,Retail Purchase,,,,,,,10/8/2012,
6542,,Retail Purchase,,,,,,,10/8/2012,
6543,,Retail Purchase,,,,,,,10/8/2012,
6555,,Payment Services,,,,,,,10/8/2012,
7010,,Retail Purchase,,,,,,,10/8/2012,
7011," Hotels,Motels,Resorts-Lodgi",Hotel/Motel,,,,,,,10/8/2012,
7012, Timeshares,Retail Purchase,,,,,,,10/8/2012,
7013,,Retail Purchase,,,,,,,10/8/2012,
7014,,Retail Purchase,,,,,,,10/8/2012,
7015,,Retail Purchase,,,,,,,10/8/2012,
7032, Sporting And Recreat. Camps,Retail Purchase,,,,,,,10/8/2012,
7033, Trailer Parks & Campgrounds,Retail Purchase,,,,,,,10/8/2012,
7210," Laundry,cleaning & Garment ",Retail Purchase,,,,,,,10/8/2012,
7211, Laundry Services-family & C,Retail Purchase,,,,,,,10/8/2012,
7216, Dry Cleaners,Retail Purchase,,,,,,,10/8/2012,
7217, Carpet And Upholstery Clean,Retail Purchase,,,,,,,10/8/2012,
7221," Photographic Studios, Portr",Retail Purchase,,,,,,,10/8/2012,
7230, Beauty Shops & Barber Shops,Retail Purchase,JUST MEN SALON,ДЖАСТ МЕН САЛОН,,,,,10/8/2012,
7231,,Retail Purchase,,,,,,,10/8/2012,
7232,,Retail Purchase,,,,,,,10/8/2012,
7251, Shoe Repair Shops,Retail Purchase,,,,,,,10/8/2012,
7261, Funeral Service & Crematori,Retail Purchase,,,,,,,10/8/2012,
7273, Dating & Escort Services,Retail Purchase,,,,,,,10/8/2012,
7276, Tax Preparation Service,Retail Purchase,,,,,,,10/8/2012,
7277, Counseling Service - Debt,Retail Purchase,,,,,,,10/8/2012,
7278, Buying/shopping Services,Retail Purchase,DARBERRY,,TVERSKAYA STR,,RUS,MOSCOW,10/8/2012,
7296, Clothing Rental - Costumes,Retail Purchase,,,,,,,10/8/2012,
7297, Massage Parlors,Retail Purchase,,,,,,,10/8/2012,
7298, Health & Beauty Spas,Retail Purchase,,,,,,,10/8/2012,
7299, Other Services (Not Elsewhe,Retail Purchase,QIWI KOSHELEK,КИВИ КОШЕЛЕК,,,RUS,MOSCOW,10/8/2012,
7299, Other Services (Not Elsewhe,Retail Purchase,DOSTAVKA.RU,ДОСТАВКА.РУ,,,RUS,MOSCOW,10/8/2012,
7311, Advertising Services,Retail Purchase,,,,,,,10/8/2012,
7321, Consumer Credit Reporting A,Retail Purchase,,,,,,,10/8/2012,
7333," Commercial Photography,art",Retail Purchase,,,,,,,10/8/2012,
7338, Quick-copy & Reproduction,Retail Purchase,,,,,,,10/8/2012,
7339, Stenographic & Secretarial ,Retail Purchase,,,,,,,10/8/2012,
7342, Disinfecting & Exterminatin,Retail Purchase,,,,,,,10/8/2012,
7349, Cleaning & Maintenance,Retail Purchase,,,,,,,10/8/2012,
7361, Employment Agencies,Retail Purchase,,,,,,,10/8/2012,
7372, Computer And Data Processin,Retail Purchase,,,,,,,10/8/2012,
7375, Info Retrieval Services,Retail Purchase,,,,,,,10/8/2012,
7379, Computer Main/Repair Servic,Retail Purchase,,,,,,,10/8/2012,
7392," Management, Consulting",Retail Purchase,,,,,,,10/8/2012,
7393, Detective Agencies,Retail Purchase,,,,,,,10/8/2012,
7394, Equipment Rental & Leasing,Retail Purchase,,,,,,,10/8/2012,
7395, Photofinishing Laboratories,Retail Purchase,MIR-FOTO NA KUTUZOVSKO,МИР ФОТО НА КУТУЗОВСКОМ,KUTUZOVSK,,RUS,MOSCOW,10/8/2012,
7399, Business Services,Retail Purchase,QIWI_WALLET INTERNATIONAL,КИВИ ВАЛЕТ ИНТЕРНЕШНЛ,,,RUS,MOSCOW,10/8/2012,
7511, Truck Stop Transactions,Unique,,,,,,,10/8/2012,
7512, Automobile Rental & Leasing,Vehicle Rental,,,,,,,10/8/2012,
7513, Truck & Utility Trailer Ren,Vehicle Rental,,,,,,,10/8/2012,
7519, Motor Home & Recreational V,Vehicle Rental,,,,,,,10/8/2012,
7523, Automobile Parking Lots,Retail Purchase,,,,,,,10/8/2012,
7531, Automotive Top & Body Shops,Retail Purchase,,,,,,,10/8/2012,
7534, Tire Retreading & Repair Sh,Retail Purchase,,,,,,,10/8/2012,
7535, Automotive Paint Shops,Retail Purchase,,,,,,,10/8/2012,
7538, Automotive Service Shops,Retail Purchase,,,,,,,10/8/2012,
7539,,Retail Purchase,,,,,,,10/8/2012,
7542, Car Washes,Retail Purchase,,,,,,,10/8/2012,
7549, Towing Services,Retail Purchase,,,,,,,10/8/2012,
7622, Electronic Repair Shops,Retail Purchase,,,,,,,10/8/2012,
7623, Air Conditioning & Refriger,Retail Purchase,,,,,,,10/8/2012,
7629, Electrical & Small Appl.rep,Retail Purchase,,,,,,,10/8/2012,
7631," Watch, Clock & Jewelry Repa",Retail Purchase,,,,,,,10/8/2012,
7641, Reupholstery & Furnit. Repa,Retail Purchase,,,,,,,10/8/2012,
7692, Welding Repair,Retail Purchase,,,,,,,10/8/2012,
7699, Miscellaneous Repair Shops,Retail Purchase,,,,,,,10/8/2012,
7829, Motion Picture/Video Prd/Di,Retail Purchase,,,,,,,10/8/2012,
7832, Motion Picture Theaters,Retail Purchase,KARO FILM ,КАРО ФИЛЬМ,,,RUS,MOSCOW,10/8/2012,
7841, DVD/VIDEO TAPE RENTAL STORE,Retail Purchase,,,,,,,10/8/2012,
7911," Dance Halls, Studios",Retail Purchase,,,,,,,10/8/2012,
7922, Theatrical Producers,Retail Purchase,BILETNYE KASSY,БИЛЕТНЫЕ КАССЫ,,,RUS,MOSCOW,10/8/2012,
7929," Bands, Orchestras And Misce",Retail Purchase,,,,,,,10/8/2012,
7932, Billiard And Pool Establish,Retail Purchase,,,,,,,10/8/2012,
7933, Bowling Alleys,Retail Purchase,,,,,,,10/8/2012,
7941, Commercial Sports,Retail Purchase,GYMNASTIKA SPA SALON,ГИМНАСТИКА СПА САЛОН,,,RUS,MOSCOW,10/8/2012,
7987,,Retail Purchase,,,,,,,10/8/2012,
7988,,Retail Purchase,,,,,,,10/8/2012,
7989,,Retail Purchase,,,,,,,10/8/2012,
7990,,Retail Purchase,,,,,,,10/8/2012,
7991, Tourist Attr. And Exhibitio,Retail Purchase,,,,,,,10/8/2012,
7992, Golf Courses - Public Video,Retail Purchase,,,,,,,10/8/2012,
7993, Video Amusement Game Suppli,Retail Purchase,,,,,,,10/8/2012,
7994, Video Games Arcades/establi,Retail Purchase,BLIZZARD WOW,БЛИЗЗАРД ВОВ,,,RUS,MOSCOW,10/8/2012,
7995, Casino,Unique,,,,,,,10/8/2012,
7996," Amusement Parks,circuses",Retail Purchase,,,,,,,10/8/2012,
7997, Membership Clubs,Retail Purchase,,,,,,,10/8/2012,
7998," Aquariums,seaquariums",Retail Purchase,,,,,,,10/8/2012,
7999, Recreation Services (Not El,Retail Purchase,,,,,,,10/8/2012,
8011, Doctors (Not Elsewhere Clas,Retail Purchase,,,,,,,10/8/2012,
8021," Dentists,orthodontists",Retail Purchase,,,,,,,10/8/2012,
8031, Osteopathic Physicians,Retail Purchase,,,,,,,10/8/2012,
8041, Chiropractors,Retail Purchase,,,,,,,10/8/2012,
8042," Optometrists,opthamalogists",Retail Purchase,,,,,,,10/8/2012,
8043," Opticians, Optical Goods, E",Retail Purchase,,,,,,,10/8/2012,
8044, ---------------------------,Retail Purchase,,,,,,,10/8/2012,
8049," Chiropodists,podiatrists",Retail Purchase,,,,,,,10/8/2012,
8050, Nursing And Personal Care F,Retail Purchase,,,,,,,10/8/2012,
8062, Hospitals,Retail Purchase,,,,,,,10/8/2012,
8071, Medical & Dental Laboratori,Retail Purchase,,,,,,,10/8/2012,
8099, Medical Services,Retail Purchase,CLINIC IMUN.I REP.,,MALAYA ORD,,RUS,MOSCOW,10/8/2012,
8111," Legal Services,attorneys",Retail Purchase,,,,,,,10/8/2012,
8211, Elementary & Secondary Scho,Retail Purchase,,,,,,,10/8/2012,
8220," Colleges,Universities",Retail Purchase,,,,,,,10/8/2012,
