mcc,mccgrp
3723,Hotel/Motel
3724,Hotel/Motel
3725,Hotel/Motel
3726,Hotel/Motel
3727,Hotel/Motel
3728,Hotel/Motel
3729,Hotel/Motel
3730,Hotel/Motel
3731,Hotel/Motel
3732,Hotel/Motel
3733,Hotel/Motel
3734,Hotel/Motel
3735,Hotel/Motel
3736,Hotel/Motel
3737,Hotel/Motel
3738,Hotel/Motel
3739,Hotel/Motel
3740,Hotel/Motel
3741,Hotel/Motel
3742,Hotel/Motel
3743,Hotel/Motel
3744,Hotel/Motel
3745,Hotel/Motel
3746,Hotel/Motel
3747,Hotel/Motel
3748,Hotel/Motel
3749,Hotel/Motel
3750,Hotel/Motel
3751,Hotel/Motel
3752,Hotel/Motel
3753,Hotel/Motel
3754,Hotel/Motel
3755,Hotel/Motel
3756,Hotel/Motel
3757,Hotel/Motel
3758,Hotel/Motel
3759,Hotel/Motel
3760,Hotel/Motel
3761,Hotel/Motel
3762,Hotel/Motel
3763,Hotel/Motel
3764,Hotel/Motel
3765,Hotel/Motel
3766,Hotel/Motel
3767,Hotel/Motel
3768,Hotel/Motel
3769,Hotel/Motel
3770,Hotel/Motel
3771,Hotel/Motel
3772,Hotel/Motel
3773,Hotel/Motel
3774,Hotel/Motel
3775,Hotel/Motel
3776,Hotel/Motel
3777,Hotel/Motel
3778,Hotel/Motel
3779,Hotel/Motel
3780,Hotel/Motel
3781,Hotel/Motel
3782,Hotel/Motel
3783,Hotel/Motel
3784,Hotel/Motel
3785,Hotel/Motel
3786,Hotel/Motel
3787,Hotel/Motel
3788,Hotel/Motel
3789,Hotel/Motel
3790,Hotel/Motel
3791,Hotel/Motel
3792,Hotel/Motel
3793,Hotel/Motel
3794,Hotel/Motel
3795,Hotel/Motel
3796,Hotel/Motel
3797,Hotel/Motel
3798,Hotel/Motel
3799,Hotel/Motel
3800,Hotel/Motel
3801,Hotel/Motel
3802,Hotel/Motel
3803,Hotel/Motel
3804,Hotel/Motel
3805,Hotel/Motel
3806,Hotel/Motel
3807,Hotel/Motel
3808,Hotel/Motel
3809,Hotel/Motel
3810,Hotel/Motel
3811,Hotel/Motel
3812,Hotel/Motel
3813,Hotel/Motel
3814,Hotel/Motel
3815,Hotel/Motel
3817,Hotel/Motel
3818,Hotel/Motel
3819,Hotel/Motel
3819,Hotel/Motel
3820,Hotel/Motel
3820,Hotel/Motel
3821,Hotel/Motel
3821,Hotel/Motel
3822,Hotel/Motel
3823,Hotel/Motel
3824,Hotel/Motel
3825,Hotel/Motel
3826,Hotel/Motel
3827,Hotel/Motel
3828,Hotel/Motel
4011,Retail Purchase
4012,Retail Purchase
4013,Retail Purchase
4014,Retail Purchase
4111,Retail Purchase
4112,Transportation
4112,Transportation
4112,Transportation
4119,Retail Purchase
4121,Retail Purchase
4131,Retail Purchase
4132,Retail Purchase
4133,Retail Purchase
4214,Retail Purchase
4215,Retail Purchase
4225,Retail Purchase
4411,Transportation
4457,Retail Purchase
4468,Retail Purchase
4511,Transportation
4511,Transportation
4511,Transportation
4511,Transportation
4511,Transportation
4511,Transportation
4511,Transportation
4582,Retail Purchase
4722,Retail Purchase
4783,Retail Purchase
4784,Retail Purchase
4785,Retail Purchase
4786,Retail Purchase
4789,Retail Purchase
4811,Retail Purchase
4812,Retail Purchase
4812,Retail Purchase
4812,Retail Purchase
4812,Retail Purchase
4813,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4814,Mail/Telephone/Preauth order
4815,Retail Purchase
4816,Retail Purchase
4816,Retail Purchase
4816,Retail Purchase
4816,Retail Purchase
4817,Retail Purchase
4818,Retail Purchase
4819,Retail Purchase
4821,Retail Purchase
4829,Unique
4899,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
4900,Retail Purchase
5013,Retail Purchase
5021,Retail Purchase
5039,Retail Purchase
5044,Retail Purchase
5045,Retail Purchase
5046,Retail Purchase
5047,Retail Purchase
5051,Retail Purchase
5065,Retail Purchase
5072,Retail Purchase
5074,Retail Purchase
5085,Retail Purchase
5094,Jewelry
5099,Retail Purchase
5111,Retail Purchase
5122,Retail Purchase
5131,Retail Purchase
5137,Retail Purchase
5139,Retail Purchase
5169,Retail Purchase
5172,Retail Purchase
5192,Retail Purchase
5193,Retail Purchase
5198,Retail Purchase
5199,Retail Purchase
5200,Retail Purchase
5200,Retail Purchase
5211,Retail Purchase
5211,Retail Purchase
5231,Retail Purchase
5251,Retail Purchase
5261,Retail Purchase
5261,Retail Purchase
5271,Retail Purchase
5300,Retail Purchase
5309,Retail Purchase
5310,Retail Purchase
5311,Variety/Groc/Food Stores
5311,Variety/Groc/Food Stores
5311,Variety/Groc/Food Stores
5312,Retail Purchase
5313,Retail Purchase
5314,Retail Purchase
5331,Variety/Groc/Food Stores
5333,Retail Purchase
5335,Retail Purchase
5338,Retail Purchase
5350,Retail Purchase
5399,Retail Purchase
5399,Retail Purchase
5399,Retail Purchase
5399,Retail Purchase
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
